"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team","player_hist_link","player_fullname"
646,"433154.jpg","McNeil",90,"a",433154,"Dwight","McNeil",NA,"",45,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"0.0","1.0",0,0,0,0,0,0,0,0,1,1,"1.0","1.0",NA,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,4,4,"https://fantasy.premierleague.com/drf/element-summary/646","Dwight McNeil"
25,"44346.jpg","Giroud",8,"a",44346,"Olivier","Giroud",18,"",84,"2018-01-30T20:01:18Z",100,100,"0.6","9.2",-1,0,1,0,FALSE,2,"3.7","4.7",227618,313993,0,0,0,0,0,0,77,2,"2.7","5.2","5.7",FALSE,981,7,1,5,11,0,0,0,0,0,0,10,273,"307.0","311.1","673.0","129.0",0,4,5,"https://fantasy.premierleague.com/drf/element-summary/25","Olivier Giroud"
94,"60772.jpg","Courtois",8,"a",60772,"Thibaut","Courtois",13,"",53,"2018-05-09T18:31:22Z",100,100,"0.7","25.7",-2,0,2,0,FALSE,0,"10.3","3.5",901183,530384,0,0,0,0,0,0,136,2,"3.9","4.0","4.3",FALSE,3150,0,0,15,34,0,0,0,2,0,77,4,635,"549.0","0.0","0.0","55.2",0,1,5,"https://fantasy.premierleague.com/drf/element-summary/94","Thibaut Courtois"
95,"41251.jpg","Eduardo",8,"a",41251,"Eduardo","dos Reis Carvalho",37,"",47,NA,NA,NA,"0.0","0.0",-3,0,3,0,FALSE,0,"0.1","0.0",3581,1221,0,0,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,1,5,"https://fantasy.premierleague.com/drf/element-summary/95","Eduardo dos Reis Carvalho"
96,"20310.jpg","Caballero",8,"a",20310,"Willy","Caballero",1,"",48,NA,NA,NA,"0.1","2.3",-2,0,2,0,FALSE,0,"0.1","0.3",13325,11018,0,0,0,0,0,0,11,0,"3.7","0.8","0.9",FALSE,270,0,0,1,4,0,0,0,0,0,7,0,54,"55.2","0.0","0.0","5.5",0,1,5,"https://fantasy.premierleague.com/drf/element-summary/96","Willy Caballero"
97,"41328.jpg","Azpilicueta",8,"a",41328,"César","Azpilicueta",28,"",69,NA,NA,NA,"0.5","25.4",4,0,-4,0,TRUE,4,"21.0","3.5",1138791,1565365,0,0,0,0,0,0,175,1,"4.7","4.0","4.5",FALSE,3330,2,6,15,38,1,0,0,1,0,0,25,913,"967.4","535.7","168.0","167.5",0,2,5,"https://fantasy.premierleague.com/drf/element-summary/97","César Azpilicueta"
98,"19419.jpg","Cahill",8,"a",19419,"Gary","Cahill",24,"",62,"2018-01-13T18:01:17Z",100,100,"0.4","11.9",-3,0,3,0,FALSE,0,"3.0","2.5",609943,89245,0,0,0,0,0,0,74,1,"2.7","3.0","3.3",FALSE,2082,0,0,9,27,0,0,0,1,1,0,2,447,"496.6","55.6","99.0","65.4",0,2,5,"https://fantasy.premierleague.com/drf/element-summary/98","Gary Cahill"
100,"82263.jpg","Alonso",8,"a",82263,"Marcos","Alonso",3,"",71,"2018-04-19T10:01:17Z",100,100,"0.5","23.2",1,0,-1,0,TRUE,5,"16.2","3.2",1821079,1720420,0,0,0,0,0,0,165,0,"5.0","3.7","4.3",FALSE,2855,7,2,13,30,0,0,0,6,0,0,15,650,"697.8","549.6","822.0","207.1",0,2,5,"https://fantasy.premierleague.com/drf/element-summary/100","Marcos Alonso"
101,"41270.jpg","David Luiz",8,"i",41270,"David","Luiz Moreira Marinho",30,"Knee injury - Expected back 13 May",57,"2018-02-15T13:31:17Z",0,0,"0.0","5.6",-3,0,3,0,FALSE,0,"8.1","0.0",1196235,326869,0,0,0,0,0,0,32,0,"3.2","0.0","0.0",FALSE,838,1,2,3,13,0,0,0,3,1,0,0,186,"210.2","22.3","65.0","29.6",0,2,5,"https://fantasy.premierleague.com/drf/element-summary/101","David Luiz Moreira Marinho"
102,"49013.jpg","Moses",8,"a",49013,"Victor","Moses",15,"",65,"2017-10-14T16:31:15Z",100,100,"0.8","20.2",0,0,0,0,FALSE,4,"2.9","5.2",179921,270612,0,0,0,0,0,0,131,1,"4.7","5.7","6.5",FALSE,2109,3,6,11,20,0,0,0,3,0,0,9,486,"417.0","358.1","482.0","125.9",0,2,5,"https://fantasy.premierleague.com/drf/element-summary/102","Victor Moses"
