"player_id","player_fullname","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"David Ospina",1,"2017-08-11T18:45:00Z","11 Aug 19:45",4,3,TRUE,1,0,50,0,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
1,"David Ospina",512,"2017-08-19T16:30:00Z","19 Aug 17:30",1,0,FALSE,2,0,50,-1128,11030,195,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15
1,"David Ospina",1028,"2017-08-27T15:00:00Z","27 Aug 16:00",4,0,FALSE,3,0,50,-982,11243,106,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,10
1,"David Ospina",1559,"2017-09-09T14:00:00Z","09 Sep 15:00",3,0,TRUE,4,0,49,-730,11534,155,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2
1,"David Ospina",2103,"2017-09-17T12:30:00Z","17 Sep 13:30",0,0,FALSE,5,0,49,-441,11566,75,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,5
1,"David Ospina",2649,"2017-09-25T19:00:00Z","25 Sep 20:00",2,0,TRUE,6,0,49,-425,11539,147,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,19
1,"David Ospina",3199,"2017-10-01T11:00:00Z","01 Oct 12:00",2,0,TRUE,7,0,49,-354,11534,119,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,3
1,"David Ospina",3753,"2017-10-14T16:30:00Z","14 Oct 17:30",2,1,FALSE,8,0,49,-300,11589,138,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,18
1,"David Ospina",4310,"2017-10-22T12:30:00Z","22 Oct 13:30",2,5,FALSE,9,0,49,-202,11512,66,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,7
1,"David Ospina",4869,"2017-10-28T14:00:00Z","28 Oct 15:00",2,1,TRUE,10,0,49,-530,11027,39,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,16
1,"David Ospina",5432,"2017-11-05T14:15:00Z","05 Nov 14:15",3,1,FALSE,11,0,49,-312,10761,20,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,11
2,"Petr Cech",2,"2017-08-11T18:45:00Z","11 Aug 19:45",4,3,TRUE,1,1,55,0,222249,0,0,0,0,90,0,0,0,3,0,0,0,0,0,0,0,9,"12.2","0.0","0.0","1.2",0,0,0,0,4,0,1,0,20,16,0,0,0,0,0,0,0,0,0,2,1,9
