"player_id","player_fullname","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"David Ospina",1,"2016-08-14T15:00:00Z","14 Aug 16:00",3,4,TRUE,1,0,50,0,6064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
1,"David Ospina",526,"2016-08-20T16:30:00Z","20 Aug 17:30",0,0,FALSE,2,0,50,-578,7400,153,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,8
1,"David Ospina",1066,"2016-08-27T14:00:00Z","27 Aug 15:00",1,3,FALSE,3,0,50,-571,7708,150,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,18
1,"David Ospina",1616,"2016-09-10T14:00:00Z","10 Sep 15:00",2,1,TRUE,4,0,49,-449,8072,183,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,13
1,"David Ospina",2197,"2016-09-17T14:00:00Z","17 Sep 15:00",1,4,FALSE,5,0,49,-158,8379,172,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,7
1,"David Ospina",2781,"2016-09-24T16:30:00Z","24 Sep 17:30",3,0,TRUE,6,0,49,-269,8632,158,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,4
1,"David Ospina",3367,"2016-10-02T15:30:00Z","02 Oct 16:30",0,1,FALSE,7,0,49,-253,8699,106,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,3
1,"David Ospina",3956,"2016-10-15T14:00:00Z","15 Oct 15:00",3,2,TRUE,8,0,49,-256,8856,88,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,16
1,"David Ospina",4548,"2016-10-22T14:00:00Z","22 Oct 15:00",0,0,TRUE,9,0,48,-200,8844,48,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,12
1,"David Ospina",5142,"2016-10-29T11:30:00Z","29 Oct 12:30",1,4,FALSE,10,0,48,-161,8863,40,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,15
